title,location,startdate,enddate,vendor
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",2023-09-22,2024-01-07,Ticketmelon
Enchanted Flora Park,Flora Park,2023-11-01,2024-02-29,Ticketmelon
Enchanted Flora Park,Flora Park,2023-11-01,2024-02-29,Ticketmelon
The Backyard 168: Back to the 90's Campfire Party,"The Backyard 168, Khao Yai",2023-12-01,2024-02-25,Ticketmelon
Best Comedy Show On Khaosan - Davidson Boswell,The Comedy Joint Khaosan,2023-12-10,2023-12-27,Ticketmelon
NuNew 2nd Single Nu Meow Official Goods,Photobook Delivery,2023-12-12,2024-01-12,Ticketmelon
Blueprint Livehouse: Solitude is Bliss (2nd Show),Blueprint Livehouse,2023-12-18,2023-12-18,Ticketmelon
GasolineSrinakarin PRESENT แหลม สมพล, Gasoline Bar - Srinakarin,2023-12-18,2023-12-18,The Concert
DR.FUU ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-12-19,2023-12-19,Ticketmelon
Blueprint Livehouse: Slur + The Jukks,Blueprint Livehouse,2023-12-20,2023-12-20,Ticketmelon
Stand-up Comedy “ The Boy “ By Katanyu Swangsri, โรงละครเคแบงก์สยามพิฆเนศ,2023-12-20,2023-12-20,The Concert
ลาบกรุงคอนสด RASMEE ISAN SOUL, ลาบกรุง,2023-12-20,2023-12-20,The Concert
Blueprint Livehouse: Summer Dress + Hariguem Zaboy,Blueprint Livehouse,2023-12-21,2023-12-21,Ticketmelon
เบลนด์ 285 ซิคเนเจอร์ พรีเซนต์ ร่างกายต้องการคอนเสิร์ต ตอน ขอให้โลกนี้ใจดีกับเรา, LIDO CONNECT HALL 3,2023-12-21,2023-12-21,The Concert
"Veshalka / Dill Pickles, Activ8, T1000, Named, Ram, Justie, Puppss",A Blanket And A Pillow,2023-12-22,2023-12-22,Ticketmelon
LIDO LIVEHOUSE presented by Jameson Connects 'Zweed n' Roll & Laika',Lido Connect,2023-12-22,2023-12-22,Ticketmelon
K. Aglet + Dieout + Sumdong + Chonburi Flow,Blueprint Livehouse,2023-12-22,2023-12-22,Ticketmelon
ชายหาดอวกาศ ฟังกี้ วาวา, ROOFTOP CENTRAL PINKLAO,2023-12-22,2023-12-22,The Concert
TIME EVENT TH,Sermsuk Warehouse,2023-12-22,2023-12-24,Ticketmelon
BossNoeul Private Christmas Party,"SUN & MOON, Riverside Hotel, Phnom Penh, Cambodia",2023-12-23,2023-12-23,Ticketmelon
Brushes & Bottles: A Creative Paint and Vino Experience,ASAI Bangkok Chinatown,2023-12-23,2023-12-23,Ticketmelon
SIAM INFERNO METALFEST 2023,Mr Fox Livehouse ,2023-12-23,2023-12-23,Ticketmelon
HOME ALONE Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2023-12-23,2023-12-23,Ticketmelon
Kardinal presents: Cherry Bomb by Good Night KL,REX KL,2023-12-23,2023-12-23,Ticketmelon
RIOTNOX WHITE CHRISTMAS ,DECOMMUNE,2023-12-23,2023-12-23,Ticketmelon
TLT Presents Liquid Soul,Amnesia,2023-12-23,2023-12-23,Ticketmelon
BEAMCUBE Invites Lipelis,"BEAMCUBE, Mahanakorn Cube",2023-12-23,2023-12-23,Ticketmelon
EDM Addicts Take Over EP19 Presents Wiwek At Spaceplus Bangkok,Spaceplus Bangkok,2023-12-23,2023-12-23,Ticketmelon
Land of music 2023, Land of us Camp สวนผึ้ง ราชบุรี,2023-12-23,2023-12-23,The Concert
"GSUS2 ""GOODBYE BOY""", DECOMMUNE,2023-12-23,2023-12-23,The Concert
BRIGHT's HOME PARTY BRIGHT THE FIRST FAN MEETING Presented by Lazada, QUEEN SIRIKIT NATIONAL CONVENTION CENTER,2023-12-23,2023-12-24,The Concert
แสงเหนือ Music Festival 2, ช้าง โรง สี ดอยสะเก็ด  จังหวัดเชียงใหม่,2023-12-23,2023-12-24,The Concert
"PSYCHIC FEVER LIVE 2023 ""P.C.F"" IN THAILAND",LIDO CONNECT HALL 2,2023-12-24,2023-12-24,Ticketmelon
X'Mas Cruise,Yodpiman Riverwalk,2023-12-24,2023-12-24,Ticketmelon
Siam Sinfonietta’s Holiday Concert,Banyan Tree - Grand Ballroom,2023-12-24,2023-12-24,Ticketmelon
EDM Addicts Take Over Presents Differ Club's 19th Anniversary with Wiwek,Differ Club,2023-12-24,2023-12-24,Ticketmelon
PSYCHIC FEVER FAN EVENT 2023 IN THAILAND ~PsyFe Christmas Night~,LIDO CONNECT HALL 2,2023-12-24,2023-12-24,Ticketmelon
TONETALK สอนคุณให้เป็นเซียน, Araya Hall DBS Denla British School,2023-12-24,2023-12-24,The Concert
Moon Mountain X'mas Edition 2023,แพวันวาน,2023-12-24,2023-12-26,Ticketmelon
Moon Mountain X'mas 2023,แพวันวาน,2023-12-24,2023-12-26,Ticketmelon
XTC presents Séxstasy ,Decommune,2023-12-25,2023-12-25,Ticketmelon
Blueprint Livehouse: SEKI + The Octopuss*,Blueprint Livehouse,2023-12-27,2023-12-27,Ticketmelon
AN INTIMATE ACOUSTIC NIGHT WITH​  YOKEE PLAYBOY,Siwilai Sound Club,2023-12-27,2023-12-27,Ticketmelon
Greasy Cafe ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-12-28,2023-12-28,Ticketmelon
Pitt Club KL pres. Nicky Romero,Pitt Club KL,2023-12-28,2023-12-28,Ticketmelon
Harvest Moon Music Camp #3,Daidib Daidee,2023-12-29,2023-12-29,Ticketmelon
Middleman's 1st Love Final EP,เมเจอร์รัชโยธิน โรงที่ 14,2023-12-29,2023-12-29,Ticketmelon
Venti Nightclub presents: Mastermind ft. Twopee Southside,"Venti Nightclub, 19 23 RCA Alley, Bang Kapi, Huai Khwang, Bangkok 10310",2023-12-29,2023-12-29,Ticketmelon
NEON COUNTDOWN 2023,Wonder World Extreme Park,2023-12-29,2023-12-31,Ticketmelon
2023 NAM WOO HYUN CONCERT 〈ARBOR DAY 3－WHITREE〉,Live Streaming,2023-12-30,2023-12-31,Ticketmelon
Sol-a-sol Festival,Selina Serenity Rawai,2023-12-31,2023-12-31,Ticketmelon
LOVE ACTUALLY Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2023-12-31,2023-12-31,Ticketmelon
The Landing NYE Special,Helipad KL,2023-12-31,2023-12-31,Ticketmelon
NEW YEAR’S EVE 2024,Wat Worachanyawas,2023-12-31,2023-12-31,Ticketmelon
NYE GALA 2024 ON THE BEACH at Alexa Beach Club Pattaya,Alexa Beach Club Pattaya ,2023-12-31,2023-12-31,Ticketmelon
🌟✨ DreamForest 2024: A Magical New Year's Celebration 🌲🎆,MoonRock,2023-12-31,2023-12-31,Ticketmelon
 HOUSE OF DRAGON NEW YEAR EVE PARTY,REDSQUARE ROOFTOP BAR ,2023-12-31,2023-12-31,Ticketmelon
NYE at BEAMCUBE with Eddie Leader,"BEAMCUBE, Mahanakorn Cube",2023-12-31,2023-12-31,Ticketmelon
RCB NEW YEAR COUNTDOWN 2024,River City Bangkok,2023-12-31,2023-12-31,Ticketmelon
Studio Adventure: Phú Quốc Odyssey NYE 23-24,"Chez Carole Beach Resort, Phu Quoc ",2023-12-31,2024-01-02,Ticketmelon
THE 33RD  SEOUL MUSIC AWARDS IN BANGKOK,RAJAMANGALA NATIONAL STADIUM,2024-01-02,2024-01-02,Ticketmelon
【She Her Her Hers Live in Bangkok “Diffusion of Responsibility】,-,2024-01-05,2024-01-05,Ticketmelon
