title,location,startdate,enddate,vendor
SANTA FÉ HAPPINESS TRIP 20th ANNIVERSARY,,2023-06-10,2023-11-04,TTM
YAMS Nation Tour,-,2023-06-23,2023-09-30,Ticketmelon
Part of Your World : Alan Menken Retrospective Concert,Philtration,2023-08-13,2023-09-24,Ticketmelon
Vespa x CROSSPLAY 2023,Bangkok,2023-08-19,2023-10-07,Ticketmelon
2023 GMMTV FANDAY6 in Seoul,Live Streaming,2023-08-21,2023-10-28,Ticketmelon
Coffee Brewing 101 with Roots  ,theCOMMONS Thonglor,2023-08-26,2023-10-29,Ticketmelon
BEACH CLUB CULTURE September Weekends at Alexa Beach Club,Alexa Beach Club Pattaya,2023-09-02,2023-09-30,Ticketmelon
BUD LIVEHOUSE - SEP 2023,Lido Connect,2023-09-06,2023-09-27,Ticketmelon
Desktop Error Discography Unplugged Tour,"Proud To be, Sawasdee Surin, Somewhere Only We know, Grafik Cafe, Backyard, North country",2023-09-08,2023-09-24,Ticketmelon
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",2023-09-22,2023-01-07,Ticketmelon
"Never Normal Presents Gonno [Ostgut Ton, JP] w/ Kova O' Sarin",Never Normal,2023-09-22,2023-09-22,Ticketmelon
Diga Diga Doo 2023,Shanghai Mansion Hotel,2023-09-22,2023-09-24,Ticketmelon
789 SPECIAL STAGE THE TIME CAPSULE,ธันเดอร์โดม เมืองทองธานี,2023-09-22,2023-09-24,TTM
GMMTV FANDAY IN BANGKOK,ยูเนี่ยน ฮอลล์ ชั้น F6 ศูนย์การค้ายูเนี่ยน มอลล์,2023-09-22,2023-09-24,TTM
Volk & Folk Festival,The Oasis Malaiman Road KM.9 Nakhon Pathom,2023-09-23,2023-09-23,Ticketmelon
ELYSIUM,The Diplomat KL,2023-09-23,2023-09-23,Ticketmelon
Park & Jams,Mckinley Whisky Park,2023-09-23,2023-09-23,Ticketmelon
Monthly Refugee Dinner: The Flavors of Ethiopia ,theCOMMONS Thonglor,2023-09-23,2023-09-23,Ticketmelon
Kangkao Echo Part 5: BreakingPoint ,Bangkok,2023-09-23,2023-09-23,Ticketmelon
BUD LIVEHOUSE SPECIAL: 2 DAYS AGO KIDS 'กลับมาสยามสแควร์',Lido Connect,2023-09-23,2023-09-23,Ticketmelon
The Landing #003,Helipad Kuala Lumpur,2023-09-23,2023-09-23,Ticketmelon
Blueprint Livehouse: The Mushy + sameplace + Maliwan,Blueprint Livehouse,2023-09-23,2023-09-23,Ticketmelon
‘จุดรวม ‘ภณ’ First Stage’, Search Studio,2023-09-23,2023-09-23,The Concert
"""SLUR Says Goodbye to The Concert Hall""", The Concert Hall,2023-09-23,2023-09-23,The Concert
TWICE 5TH WORLD TOUR READY TO BE IN BANGKOK,อิมแพ็ค อารีน่า,2023-09-23,2023-09-24,TTM
RMUTL Freshy Night 2023, มทร.ล้านนา,2023-09-23,2023-09-24,The Concert
FaraTALK ‘X’ and the City,"True Icon Hall, ICON SIAM",2023-09-24,2023-09-24,Ticketmelon
Blueprint Livehouse: 242 + GOODMORNING + A lyrnn,Blueprint Livehouse,2023-09-24,2023-09-24,Ticketmelon
"คอนเสิร์ต ""โก๋หลังวัง""",ศาลาเฉลิมกรุง,2023-09-24,2023-09-24,TTM
De Garage Night #2, DECOMMUNE,2023-09-24,2023-09-24,The Concert
FCCT Movie Club – Angry Annie,FCCThai Clubhouse,2023-09-25,2023-09-25,Ticketmelon
TESTAMENT & MARDUK Live in Bangkok,The Street,2023-09-26,2023-09-26,Ticketmelon
WORMROT live in Bangkok 2023,SPEAKERBOX ,2023-09-26,2023-09-26,Ticketmelon
babychair Live In Bangkok 2023,Mr Fox Livehouse ,2023-09-27,2023-09-27,Ticketmelon
The Gentlemans ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-09-28,2023-09-28,Ticketmelon
Blueprint Livehouse: SHERRY + ROCKETMAN,Blueprint Livehouse,2023-09-28,2023-09-28,Ticketmelon
