title,location,startdate,enddate,vendor
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",2023-09-22,2023-01-07,Ticketmelon
People Fest '23 Countdown Concert Zeal x Klear, PEOPLE FEST,2023-10-22,2023-12-31,The Concert
ZEENUNEW 1st CONCERT ANOTHER LIFE | DVD BOXSET,Photobook Delivery,2023-10-31,2023-12-01,Ticketmelon
Enchanted Flora Park,Flora Park,2023-11-01,,Ticketmelon
BEACH CLUB CULTURE November Weekends at Alexa Beach Club,Alexa Beach Club Pattaya,2023-11-04,2023-11-26,Ticketmelon
E~San 11th Music Festival Thailand 2023, หาดสวรรค์ เขื่อนอุบลรัตน์ จ.ขอนแก่น,2023-11-24,2023-11-26,The Concert
MOB PARTY 23,UNDERGROUND CHIANGMAI NIGHT BAZAAR,2023-11-25,2023-11-25,Ticketmelon
BEAMCUBE Invites Shuya Okino ,BEAMCUBE,2023-11-25,2023-11-25,Ticketmelon
Never Normal press.Atipik Showcase ,Never normal,2023-11-25,2023-11-25,Ticketmelon
VERY FESTIVAL 2023,"Ballroom Hall, QSNCC",2023-11-25,2023-11-26,Ticketmelon
COUCH LOCK THAILAND 2023, ESC Park Rangsit,2023-11-25,2023-11-26,The Concert
est Cola Presents Monster Music Festival 2023, สนามกีฬาแห่งชาติและสนามเทพหัสดิน,2023-11-25,2023-11-26,The Concert
Chiang Mai Street Jazz Festival 2023,"25th Nov at Lanna Architecture Center, 3rd December at Old Chiangmai Cultural Center",2023-11-25,2023-12-03,Ticketmelon
Pixela World.,Krungthep Aphiwat Central Terminal (Bang Sue Grand Station),2023-11-26,2023-11-26,Ticketmelon
CosCos Suki #09,Krungthep Aphiwat Central Terminal (Bang Sue Grand Station),2023-11-26,2023-11-26,Ticketmelon
Baking a Banoffee Pie  ,theCOMMONS Thonglor,2023-11-26,2023-11-26,Ticketmelon
GEEK ISLAND,Yodpiman Riveralk,2023-11-26,2023-11-26,Ticketmelon
TTA Presents: HOMESHAKE Live in Kuala Lumpur,The Bee,2023-11-26,2023-11-26,Ticketmelon
Blueprint Livehouse: Deer Mx 🇭🇰 + Dogwhine + LEPYUTIN,Blueprint Livehouse,2023-11-26,2023-11-26,Ticketmelon
BENNY SINGS LIVE IN BANGKOK,Decommune,2023-11-26,2023-11-26,Ticketmelon
"Pictured Resort 1st Live in Bangkok  "" Away To Paradise Tour 2023 """,โรงละครเคแบงก์สยามพิฆเนศ ชั้น7 สยามสแควร์วัน,2023-11-26,2023-11-26,TTM
[LIVE STREAMING]  ANKNOWNA The Unexpected Experiment ( DAY 2), MCC HALL THE MALL LIFESTORE  NGAMWONGWAN,2023-11-26,2023-11-26,The Concert
ANKNOWNA The Unexpected Experiment ( DAY 2), MCC HALL THE MALL LIFESTORE  NGAMWONGWAN,2023-11-26,2023-11-26,The Concert
Loy Kra Thong,Yodpiman RiverWalk,2023-11-27,2023-11-27,Ticketmelon
Johnny Orlando: The Ride Tour in Kuala Lumpur VIP Experience,"The Bee, Publika",2023-11-27,2023-11-27,Ticketmelon
Muy Tropical,Yodpiman Riverwalk,2023-11-28,2023-11-28,Ticketmelon
Blueprint Livehouse: Penguin Villa (Acoustic Set) + Summer Stop,Blueprint Livehouse,2023-11-28,2023-11-28,Ticketmelon
Morning Tonight Presents Paradox,Morning Tonight ,2023-11-29,2023-11-29,Ticketmelon
IXLAND SHORT FILM FEST,Yodpiman Riverwalk,2023-11-29,2023-11-29,Ticketmelon
HOODINI: BABYCHAIR LIVE IN BANGKOK (WITH PHUM VIPHURIT & NUMCHA),Sermsuk Warehouse,2023-11-29,2023-11-29,Ticketmelon
Sid Sriram Performs Sidharth,JioSpace PJ,2023-11-29,2023-11-29,Ticketmelon
Blueprint Livehouse: Hinano + Cheyada + For Who High,Blueprint Livehouse,2023-11-29,2023-11-29,Ticketmelon
JAMES ARTHUR SOUTH EAST ASIA TOUR 2023 – BANGKOK,Union Hall,2023-11-29,2023-11-29,Ticketmelon
Music @ Mahidol,หอแสดงดนตรี วิทยาลัยดุริยางคศิลป์ ม.มหิดล(ศาลายา),2023-11-29,2023-11-29,TTM
The Yers live at Come Again Cafe & Restaurant, Come Again Cafe & Restaurant,2023-11-29,2023-11-29,The Concert
ZEAL ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-11-30,2023-11-30,Ticketmelon
BKK INDIE CLUB,Yodpiman Riverwalk,2023-11-30,2023-11-30,Ticketmelon
Blueprint Livehouse: NSL + YEEET + Heartbreak Kids,Blueprint Livehouse,2023-11-30,2023-11-30,Ticketmelon
พรหมลิขิต Fan Meeting จะชาตินี้ชาติไหนหัวใจก็คือเธอ,"TRUE ICON HALL, 7th FLOOR, ICONSIAM",2023-11-30,2023-11-30,TTM
The Backyard 168: Back to the 90's Campfire Party,"The Backyard 168, Khao Yai",2023-12-01,2023-02-25,Ticketmelon
HOLYBEATS / SILAT BEKSI,A Blanket & A Pillow,2023-12-01,2023-12-01,Ticketmelon
