title,location,startdate,enddate,vendor
SANTA FÉ HAPPINESS TRIP 20th ANNIVERSARY,,2023-06-10,2023-11-04,TTM
Coffee Brewing 101 with Roots  ,theCOMMONS Thonglor,2023-08-26,2023-10-29,Ticketmelon
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",2023-09-22,2023-01-07,Ticketmelon
SOMROM Music Festival,Freeform Land อ.ด่านช้าง จ.สุพรรณ,2023-10-27,2023-10-28,Ticketmelon
Arcadia Halloween Freak Show 2,Arcadia barcade,2023-10-27,2023-10-28,Ticketmelon
เคาะห้อง #2,ก่อนถึง ฮิมห้วยคาเฟ่ ต.สะลวง อ.แม่ริม จ.เชียงใหม่,2023-10-28,2023-10-28,Ticketmelon
NON NON NON x 3NiTi : 333 Halloween Dance,DeCommune,2023-10-28,2023-10-28,Ticketmelon
HALLOQUEEN 'HOUSE OF FREAKS' & 'BIZARRE BALL',DECOMMUNE,2023-10-28,2023-10-28,Ticketmelon
HAUNTED HOUSE HALLOWEEN PARTY,REDSQUARE ROOFTOP BAR,2023-10-28,2023-10-28,Ticketmelon
Good Night KL & REXKL presents YEAR 3000 with Emo Night KL & Off-Day Motel,REXKL Main Hall,2023-10-28,2023-10-28,Ticketmelon
THE CAYENNE PEPPERS PARTY 7,Maggie Choo's,2023-10-28,2023-10-28,Ticketmelon
"Crossroads! with OLIVER HUNTEMANN (Senso Sounds, GER)",Bloom Club (TREC),2023-10-28,2023-10-28,Ticketmelon
"Soho House Halloween 2023 w/Daniel Ryn, Hinano, and Mo-Funk",soho house,2023-10-28,2023-10-28,Ticketmelon
ไทยประกันชีวิต presents GRAMMY RS CONCERTS HIT100,อิมแพ็ค อารีน่า เมืองทองธานี,2023-10-28,2023-10-28,TTM
2023 CRAVITY THE 1ST WORLD TOUR 'MASTERPIECE' IN BANGKOK,"แจ้งวัฒนะ ฮอลล์, เซ็นทรัลแจ้งวัฒนะ ชั้น 5.5",2023-10-28,2023-10-28,TTM
Steve Vai Live in Bangkok 2023,เอ็มซีซี ฮอลล์ เดอะมอลล์ไลฟ์สโตร์ งามวงศ์วาน,2023-10-28,2023-10-28,TTM
AMNESIA Pres. Ferry Tayle, AMNESIA,2023-10-28,2023-10-28,The Concert
คืนพุธ มุดผ้าห่ม : HAUNT YOU TO THE MOON,หอประชุมใหญ่ มหาวิทยาลัยธรรมศาสตร์ (ท่าพระจันทร์),2023-10-28,2023-10-29,Ticketmelon
2023-2024 BamBam THE 1ST WORLD TOUR [AREA 52] in BANGKOK,ธันเดอร์โดม สเตเดี้ยม,2023-10-28,2023-10-29,TTM
เหนือสุดหยุดโลก 2 : FLY ME TO THE MOON, ณ ลานกิจกรรมกาสะลอง 2 เซ็นทรัล เชียงราย,2023-10-28,2023-10-29,The Concert
Wild Spooky Rumpus: Be You. Be Boo! at theCOMMONS Thonglor,theCOMMONS Thonglor,2023-10-29,2023-10-29,Ticketmelon
Siam Sinfonietta plays Tchaikovsky Six,Banyan Tree - Grand Ballroom,2023-10-29,2023-10-29,Ticketmelon
Blueprint Livehouse: The Biirthday Party + Fanfoldpaper,Blueprint Livehouse,2023-10-29,2023-10-29,Ticketmelon
Very Live Surl,Voice Space,2023-10-29,2023-10-29,Ticketmelon
คอนเสิร์ต จิ๋วแต่แจ๋ว(ครูสง่า อารัมภีร ศิลปินแห่งชาติ&ครูดิเรก เกศรีระคุปต์),ศาลาเฉลิมกรุง,2023-10-29,2023-10-29,TTM
Sunsonic Concert, มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,2023-10-29,2023-10-29,The Concert
R.E.D. Chapter1, @ชั้น7 ตึกแดงวินเทจ จตุจักร (MRT กำแพงเพชร),2023-10-29,2023-10-29,The Concert
EAR CANDY, DECOMMUNE,2023-10-30,2023-10-30,The Concert
CYBERNETIC FOREST,BLVA,2023-10-31,2023-10-31,Ticketmelon
"Absolut. It's In Our Spirit, presents What The Duck คืน.ท้า.ผี Vol.2 Halloween ผีหล่อลื่น",Lido Connect,2023-10-31,2023-10-31,Ticketmelon
โซน หลอน สาด, ZONE Rangsit,2023-10-31,2023-10-31,The Concert
RedLife presents No.704 AUTTA The 1st Concert, LIDO CONNECT HALL 3,2023-10-31,2023-10-31,The Concert
SAFEPLANET ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-11-01,2023-11-01,Ticketmelon
Evergreen Concert,อาคารบรรยายรวม 4 คณะวิทยาศาสตร์ มหาวิทยาลัยธรรมศาสตร์,2023-11-01,2023-11-01,Ticketmelon
คอนเสิร์ตเปิดเทศกาลดนตรี เติมเต็มคำว่าเพื่อน / Chang Road to Friendship Concert,สถานีรถไฟหัวลำโพง กทม.,2023-11-01,2023-11-01,Ticketmelon
BUD LIVEHOUSE : NOV 2023,lido connect,2023-11-01,2023-11-01,Ticketmelon
Enchanted Flora Park,Flora Park,2023-11-01,,Ticketmelon
(2 Novemeber 23) Q Suveera : Pure Imagination Concert,Kilik Social Club (สุขุมวิท 26),2023-11-02,2023-11-02,Ticketmelon
LEO PRESENT ZEAL | INDIGO  @ GasolineSrinakarin, Gasoline Bar - Srinakarin,2023-11-02,2023-11-02,The Concert
CONFLARMONY,"MACM, College of Music, Mahidol University",2023-11-02,2023-11-05,Ticketmelon
Q Suveera : Pure Imagination Concert,Kilik Social Club (สุขุมวิท 26),2023-11-02,2023-11-12,Ticketmelon
Odyssey Ep.Staring at the Sun ,PAT Arena,2023-11-03,2023-11-03,Ticketmelon
Blueprint Livehouse: Reality Club Live in BKK,Blueprint Livehouse,2023-11-03,2023-11-03,Ticketmelon
La Mesa Live Show vol 1. SEKI & H I N A N O ,La Mesa Coffee,2023-11-03,2023-11-03,Ticketmelon
BEBE REXHA ‘BEST F’N NIGHT OF MY LIFE’ TOUR BANGKOK ,MOONSTAR STUDIO,2023-11-03,2023-11-03,Ticketmelon
Final Frontier w/ Mae Happyair & Gaspray,Never Normal Lat Phrao 18 Alley,2023-11-03,2023-11-03,Ticketmelon
ISLAND MUSIC STOKED 2023,Twin Rock Beach Resort,2023-11-03,2023-11-04,Ticketmelon
Bangkok Bar Show, the royal bangkok sport club,2023-11-03,2023-11-06,The Concert
Asiabasket Dasmarinas Championship,"Dasmarinas Arena, Cavite",2023-11-03,2023-11-12,Ticketmelon
Bass Culture Asia,Mega Star Arena Kuala Lumpur,2023-11-04,2023-11-04,Ticketmelon
Middleman's 1st Love,เมเจอร์รัชโยธิน โรงที่ 13,2023-11-04,2023-11-04,Ticketmelon
Golf Ball Drop 2023,Horizon Village & Resort Chiang Mai,2023-11-04,2023-11-04,Ticketmelon
The Art of Mixology...with a Thai Twist,"The Standard, Bangkok Mahanakhon",2023-11-04,2023-11-04,Ticketmelon
(Livestreaming) The New Chapter of BASCOP,Livestreaming,2023-11-04,2023-11-04,Ticketmelon
The New Chapter of BASCOP ,M theatre,2023-11-04,2023-11-04,Ticketmelon
2023 KIM SEJEONG 1st CONCERT TOUR ‘The 門’ IN BANGKOK,Thunder Dome,2023-11-04,2023-11-04,Ticketmelon
2023 JUNG YONG HWA LIVE IN BANGKOK,"Bhiraj Hall 1-3, Floor 2 at BITEC, Bangkok",2023-11-04,2023-11-04,Ticketmelon
Craft Fest at Sukhumvit,"1 Sukhumvit Alley 22, Klongton, Khlong Toei, Bangkok 10110",2023-11-04,2023-11-04,Ticketmelon
EDM Addicts Take Over EP17 Presents Moji at Differ Club Pattaya,Differ Club,2023-11-04,2023-11-04,Ticketmelon
2023 JO1 1ST ASIA TOUR ‘BEYOND THE DARK' LIMITED EDITION in Bangkok,ยูเนี่ยน ฮอลล์ ชั้น F6 ศูนย์การค้ายูเนี่ยน มอลล์,2023-11-04,2023-11-04,TTM
Workshops - Bangkok Literature Festival 2023,Bangkok Marriott Hotel The Surawongse,2023-11-04,2023-11-05,Ticketmelon
Anime Event Thailand,Fashion Island,2023-11-04,2023-11-05,Ticketmelon
สุพรรณติวัล, ดวงดีแลนด์,2023-11-04,2023-11-05,The Concert
LEO presents Cat eXpo, สวนสนุกวันเดอร์เวิลด์ รามอินทรา,2023-11-04,2023-11-05,The Concert
Billkin Tempo Concert Presented by Lazada, IMPACT ARENA,2023-11-04,2023-11-05,The Concert
[LIVE STREAMING] : Billkin Tempo Concert Presented by Lazada, IMPACT ARENA,2023-11-04,2023-11-05,The Concert
The Concert Application Presents Peck Aof Ice InFriendnity Concert," Royal Paragon Hall 5 Fl., Siam Paragon",2023-11-04,2023-11-05,The Concert
BEACH CLUB CULTURE November Weekends at Alexa Beach Club,Alexa Beach Club Pattaya,2023-11-04,2023-11-26,Ticketmelon
"XUXU ISLAND: Bangkok waves sound say ""XUXU""",Bangkok Island,2023-11-05,2023-11-05,Ticketmelon
Magic Mike by Mavericks,Immortal Bar,2023-11-05,2023-11-05,Ticketmelon
BRING ME THE HORIZON LIVE IN BANGKOK 2023 With Special Guest  I PREVAIL,UNION HALL,2023-11-07,2023-11-07,Ticketmelon
Saosin Live In Bangkok,MGI HALL (Show DC Floor 6th),2023-11-07,2023-11-07,Ticketmelon
(9 Novemeber 23) Q Suveera : Pure Imagination Concert,Kilik Social Club (สุขุมวิท 26),2023-11-09,2023-11-09,Ticketmelon
Blueprint Livehouse: INSPIRATIVE,Blueprint Livehouse,2023-11-10,2023-11-10,Ticketmelon
รังสิตแคมป์ 1.5, รังสิตเฟส,2023-11-10,2023-11-10,The Concert
Sound a Brit #5 Part : The Post Punk ( Tribute night ), DECOMMUNE,2023-11-10,2023-11-10,The Concert
fungtaifest,ESC Park Rangsit,2023-11-11,2023-11-11,Ticketmelon
I’m Fluke : One Moment in Time 1st Fan Meeting,KBank Siam Pic-Ganesha Center of Performing Art,2023-11-11,2023-11-11,Ticketmelon
MINI THAILAND UNITED 2023,The Scenery Vintage Farm,2023-11-11,2023-11-11,Ticketmelon
MADCRUISE ,Wat Worachanyawas ,2023-11-11,2023-11-11,Ticketmelon
MADZ Music Festival,12 Monkeys Music Hall and Pub,2023-11-11,2023-11-11,Ticketmelon
A G THANG,25 Degrees Bangkok,2023-11-11,2023-11-11,Ticketmelon
The Noname Live in Overstay,Overstay,2023-11-11,2023-11-11,Ticketmelon
Blueprint Livehouse: KIKI + VINI,Blueprint Livehouse,2023-11-11,2023-11-11,Ticketmelon
Sweet Lake Music Festival 2023, ณ ไร่หวานสนิท ต.ท่ามะปราง อ.แก่งคอย จ.สระบุรี,2023-11-11,2023-11-11,The Concert
SHINING NAMNEUNG MILIN Birthday & Showcase, หอประชุมใหญ่ มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์,2023-11-11,2023-11-11,The Concert
Sangsom Presents Single Festival 2023, ESC Park Rangsit,2023-11-11,2023-11-11,The Concert
THE MILLI SHOW LIVE IN BANGKOK, โรงละครอักษรา คิง เพาเวอร์ รางน้ำ,2023-11-11,2023-11-11,The Concert
[Live Streaming] I’m Fluke : One Moment in Time 1st Fan Meeting,Livestreaming,2023-11-11,2023-11-16,Ticketmelon
Thailand International Piano Festival,Main Hall of the Art Centre Silpakorn University (Wang Thapra),2023-11-11,2023-11-25,Ticketmelon
MARCTAT Fan Meeting 2023,อาคารสาธารณสุขวิศิษฏ์ คณะสาธารณสุขศาสตร์ (ห้องเธียเตอร์),2023-11-12,2023-11-12,Ticketmelon
HOLDING ON SHOWCASE MMXXIII with JESUS PIECE ,Mr.FOX LIVEHOUSE,2023-11-12,2023-11-12,Ticketmelon
Diwali 2023,Wat worachanwas,2023-11-12,2023-11-12,Ticketmelon
YUNGBLUD Live In Bangkok,Moonstar Studio,2023-11-12,2023-11-12,Ticketmelon
BUD LIVEHOUSE SPECIAL : WANYAi  “Untold Story นิยายของฉัน” 📖,Lido Connect,2023-11-12,2023-11-12,Ticketmelon
Blueprint Livehouse: Youth Brush + Bellythebear,Blueprint Livehouse,2023-11-12,2023-11-12,Ticketmelon
(12 Novemeber 23) Q Suveera : Pure Imagination Concert,Kilik Social Club (สุขุมวิท 26),2023-11-12,2023-11-12,Ticketmelon
Hugo เล่นของนอก, สนามมวยลุมพินี,2023-11-12,2023-11-12,The Concert
KULT KOMME, DECOMMUNE,2023-11-12,2023-11-12,The Concert
JUNNY Live in Bangkok,Voice Space,2023-11-14,2023-11-14,Ticketmelon
PURPEECH ณ บ้านเพื่อนบางแสน,บ้านเพื่อนบางแสน,2023-11-16,2023-11-16,Ticketmelon
Hubris Live in Bangkok,Brownstone,2023-11-16,2023-11-16,Ticketmelon
Spicy Riddim Club ft DJ Habibeats,"kyō KL, Mandarin Oriental",2023-11-16,2023-11-16,Ticketmelon
MAMAMOO+ 1ST FAN CONCERT [TWO RABBITS CODE] – ASIA TOUR in BANGKOK,Chaengwattana Hall,2023-11-17,2023-11-17,Ticketmelon
SE SO NEON Live in Bangkok 2023,Lido Connect,2023-11-17,2023-11-17,Ticketmelon
MAMAMOO+ 1ST FAN CONCERT [TWO RABBITS CODE] – ASIA TOUR in BANGKOK,Chaengwattana Hall,2023-11-17,2023-11-17,Ticketmelon
ManiPopCon 2023,Ayala Malls Manila Bay,2023-11-17,2023-11-19,Ticketmelon
VIVA LAS VEGAS AQUA FESTIVAL,"Columbia Pictures Aquaverse Movie Theme Water Park,",2023-11-18,2023-11-18,Ticketmelon
Southside Festival,Andamanda Phuket,2023-11-18,2023-11-18,Ticketmelon
10TPX2YS (DAY 2),Never Normal,2023-11-18,2023-11-18,Ticketmelon
Psychedelic Cruise BKK,Wat worachanyawas,2023-11-18,2023-11-18,Ticketmelon
TYSB LIVE IN CNX Vol.1,Thapae East,2023-11-18,2023-11-18,Ticketmelon
VIVA LAS VEGAS AQUA FESTIVAL,"Columbia Pictures Aquaverse, Pattaya",2023-11-18,2023-11-18,TTM
40 YEARS OF MORRISSEY,สามย่าน มิตรทาวน์ ฮอลล์,2023-11-18,2023-11-18,TTM
แหลมเจริญเฟส, หาดแหลมเจริญ จังหวัดระยอง,2023-11-18,2023-11-18,The Concert
ManiPopCon 2023: After Dark Music Fest,Ayala Malls Manila Bay ,2023-11-18,2023-11-19,Ticketmelon
THE TOILET PARTY : ลูกทุ่งเต็มดวง  ไม่ต้องวันเพ็ญ ก็เตรียมเต้นให้น้ำนอง, JJ HALL (JJ MALL),2023-11-18,2023-11-19,The Concert
IL DIVO A NEW DAY TOUR,"TRUE ICON HALL, 7th FLOOR, ICONSIAM",2023-11-19,2023-11-19,TTM
SB19 PAGTATAG WORLD TOUR BANGKOK,โรงละครเคแบงก์สยามพิฆเนศ ชั้น7 สยามสแควร์วัน,2023-11-19,2023-11-19,TTM
ลีโอนัมเบอร์เอ๊ด พรีเซ้นต์ เดอะแกรนด์โอเพนนิ่ง แอนด์ เพรสคอนเฟอเรนซ์ ปาร์ตี้คอนเสิร์ต, อาคาร อาเหนกป้าสง,2023-11-19,2023-11-19,The Concert
FourTwo89 Festival,DECOMMUNE,2023-11-23,2023-11-23,Ticketmelon
Bangkok Station: Seven years of photography from Hualamphong,FCCThai Clubhouse,2023-11-23,2023-11-23,Ticketmelon
