title,location,startdate,enddate,vendor
Monet and Friends Alive Bangkok,"Attraction Hall, 6th Floor, ICONSIAM",2023-09-22,2024-02-14,Ticketmelon
Enchanted Flora Park,Flora Park,2023-11-01,2024-02-29,Ticketmelon
Enchanted Flora Park,Flora Park,2023-11-01,2024-02-29,Ticketmelon
The Backyard 168: Back to the 90's Campfire Party,"The Backyard 168, Khao Yai",2023-12-01,2024-02-25,Ticketmelon
NuNew 2nd Single Nu Meow Official Goods,Photobook Delivery,2023-12-12,2024-01-12,Ticketmelon
"LOOOK AT YOU, LOOOK AT BANYAKART",BANYAKART Khaoyai,2023-12-21,2024-02-29,Ticketmelon
Trevor Lock for One Month Only! Best Comedy on Khaosan,The Comedy Joint Khaosan Bangkok Comedy Club,2024-01-03,2024-02-03,Ticketmelon
Trampolin 11 JAN 2024,Yodpiman Riverwalk,2024-01-11,2024-01-11,Ticketmelon
Space Odysses 11 JAN 2024,Yodpiman Riverwalk ,2024-01-11,2024-01-11,Ticketmelon
Rock The Boat,Yodpiman Riverwalk,2024-01-12,2024-01-12,Ticketmelon
LIDO LIVEHOUSE presents 'YENTED & PLASUI PLASUI',Lido Connect,2024-01-12,2024-01-12,Ticketmelon
Blueprint Livehouse: Dept,Blueprint Livehouse,2024-01-12,2024-01-12,Ticketmelon
BEAMCUBE Soft Launch with Paula Tape,"BEAMCUBE, Mahanakorn Cube",2024-01-12,2024-01-12,Ticketmelon
HARD TECHNO RAVE,PULSE CLUB BACK DOOR,2024-01-12,2024-01-12,Ticketmelon
The Concert Nightlife presents 1Mill x FIIXD x DJ TdoubleE at WHITE NOISE, White Noise,2024-01-12,2024-01-13,The Concert
เขาตาง๊อก เฟสติวัล 2024, ทัมทิมสยาม05,2024-01-12,2024-01-14,The Concert
The Real Hip-Hop Show With DJ DO 12 JAN 2024,Yodpiman Riverwalk,2024-01-12,2024-01-17,Ticketmelon
SUBCAMP 2024,Bla Bla Camp,2024-01-13,2024-01-13,Ticketmelon
เผยตัวตนทางศิลปะ Artistic Emergence,Saratta Space,2024-01-13,2024-01-13,Ticketmelon
ซัดมาด-SETMILD,GREEN CAMP NAKHON NAYOK,2024-01-13,2024-01-13,Ticketmelon
"🕉️Land of PSY, Bangkok, POOL PARTY, Hotel Clover 🗓 Sat.13th January",Hotel Clover Asoke ,2024-01-13,2024-01-13,Ticketmelon
Mustache Takeover BOAT PARTY,Wat Worachanyawas,2024-01-13,2024-01-13,Ticketmelon
101 DALMATIANS Screening at theCOMMONS' Sunset Film Club,theCOMMONS Thonglor,2024-01-13,2024-01-13,Ticketmelon
YONLAPA : LINGERING GLOAMING CONCERT,Lido Connect (L2),2024-01-13,2024-01-13,Ticketmelon
ENCHANTED VIP presents 🏁 NO LIMITS 🏁 DIFFER MAIN STAGE,Differ Club Pattaya,2024-01-13,2024-01-13,Ticketmelon
หนัดเพื่อชีWeed, ChangChui,2024-01-13,2024-01-13,The Concert
The Concert Present ลาบกรุงคอนสด x JINTA, ลาบกรุง,2024-01-13,2024-01-13,The Concert
𝔖hape𝔖hifter :L͓̽C͓̽L͓̽: NEMATOCYST : FITNESSS,Unformat Studio,2024-01-13,2024-01-16,Ticketmelon
"YOU ARE MY ANSWER, OZCAR WANG LIVE IN BANGKOK 2024",Union Hall 2,2024-01-14,2024-01-14,Ticketmelon
Mortiferum Live in Bangkok 2024,Mr Fox Livehouse ,2024-01-14,2024-01-14,Ticketmelon
คอนเสิร์ตประจำปีชมรมขับร้องประสานเสียง ครั้ง��ี่ 8,ชั้น 2 อาคารเรียนและปฏิบัติการ 50 ปี คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่,2024-01-14,2024-01-14,Ticketmelon
"YOU ARE MY ANSWER, OZCAR WANG LIVE IN BANGKOK 2024",Union Hall 2,2024-01-14,2024-01-14,Ticketmelon
Emo Pop Punk, DECOMMUNE,2024-01-14,2024-01-15,The Concert
Selina & Sirinya Live in Bangkok 2024 ,BACC,2024-01-16,2024-01-16,Ticketmelon
Tales and Tunes: Music from the Screen and Stage ,Goethe-Institut Thailand,2024-01-17,2024-01-17,Ticketmelon
ONLY MONDAY live at Come Again Cafe & Restaurant, Come Again Cafe & Restaurant,2024-01-17,2024-01-17,The Concert
PLUS PLUS Boat Party,Wat Worachanyaeas,2024-01-18,2024-01-18,Ticketmelon
Selina and Sirinya at 12 Plato Bangna,12 Plato Brewing ภายในโครงการ โรงแรมโอไรออน บางนา,2024-01-18,2024-01-18,Ticketmelon
Ligor Spirit Festival 2024,Greenspace Living ,2024-01-18,2024-01-21,Ticketmelon
SISB Fest,SISB,2024-01-19,2024-01-19,Ticketmelon
Expats & Locals Meetup,Madame Koh's,2024-01-19,2024-01-19,Ticketmelon
Jey (Jung Jinhyeong) in Bangkok ,Lido Connect Hall 2,2024-01-19,2024-01-19,Ticketmelon
LA Festival 7 (Love Disadster),"Faculty of Liberal Arts, Mahidol University ",2024-01-19,2024-01-19,Ticketmelon
Blueprint Livehouse: Lostbeans + Surff,Blueprint Livehouse,2024-01-19,2024-01-19,Ticketmelon
"SUMMER SOUND CLUB NIGHT W' BALDO (SUBWAX, BCN)",NEVER NORMAL BKK,2024-01-19,2024-01-19,Ticketmelon
EDM Addicts Take over EP21 Presents Moji at Spaceplus Bangkok,Spaceplus Bangkok,2024-01-19,2024-01-19,Ticketmelon
Out Of The World Water & Music Festival 2.0,"KL BASE, SUNGAI BESI",2024-01-19,2024-01-21,Ticketmelon
Phangan ROCKFEST 2024,Phangan Rock Place,2024-01-19,2024-01-27,Ticketmelon
