title,location,startdate,enddate,vendor
Swing Era,"Bangkok, Thammasat Association",2023-08-21,2023-08-25,Ticketmelon
Rolling Loud Thailand 2024,"Legend Siam, Pattaya",2023-11-22,2023-11-24,Ticketmelon
เฟี้ยวติวัล 2024,10 จังหวัด 10 สถานที่,2024-01-20,2024-05-19,Ticketmelon
Bangkok Dangerous!,The Comedy Joint Khaosan ,2024-01-25,2024-03-14,Ticketmelon
Local Legends,The Comedy Joint Khaosan Bangkok,2024-01-26,2024-03-15,Ticketmelon
Best Show On The Street!,The Comedy Joint Khaosan Bangkok,2024-01-27,2024-03-17,Ticketmelon
WAX TAILOR 8 MAR 2024,Yodpiman Riverwalk,2024-03-08,2024-03-08,Ticketmelon
Blueprint Livehouse: VVAS / Eyesore Concert,Blueprint Livehouse,2024-03-08,2024-03-08,Ticketmelon
'The Eras Tour Tribute',DECOMMUNE,2024-03-08,2024-03-08,Ticketmelon
Groove Theory pres. Crowd Control,Kuna KL,2024-03-08,2024-03-08,Ticketmelon
"NON NON NON w/ Soraya & Dmitra (Kontinuum, Berlin)",never normal,2024-03-08,2024-03-08,Ticketmelon
GAVIN:D x LAMAYA, Lamaya,2024-03-08,2024-03-08,The Concert
Liquid Room Present Greg Downey, Liquid Room,2024-03-08,2024-03-08,The Concert
World of Dance Thailand 2024,"Asok Montri Music and Performing Art Hall โรงละครอโศกมนตรีนาฏยศาลา ม.ศรีนครินทร์วิโรจน์ (ประสานมิตร) Bangkok,Thailand",2024-03-09,2024-03-09,Ticketmelon
The Last Call ,Port Klang Cruise Terminal,2024-03-09,2024-03-09,Ticketmelon
Witchhunter Production present : PACIFIC RIM : AFTER MATH TOUR'24,blueprint,2024-03-09,2024-03-09,Ticketmelon
เฟี้ยวติวัล ชลบุรี,ตลาดนัดจตุจักชลบุรี,2024-03-09,2024-03-09,Ticketmelon
ASAHI BEYOND EXPECTED ,Lido Connect Theater 2,2024-03-09,2024-03-09,Ticketmelon
Queen Connect #3,Yodpiman Riverwalk,2024-03-09,2024-03-09,Ticketmelon
"Lunadira’s ‘i’ll be alright, right?’ Album Release Party",Else Retreats,2024-03-09,2024-03-09,Ticketmelon
Sonic Trip : PsyTrance Night in Khao San Road !,Rere Khaosan Bangkok - รีรี ข้าวสาร,2024-03-09,2024-03-09,Ticketmelon
EPIC Pool Party at Pullman Bangkok King Power, Pullman Bangkok King Power,2024-03-09,2024-03-09,The Concert
FALLEN for SEO IN GUK 1st FAN MEETING IN BANGKOK," Ultra Arena, Bravo BKK",2024-03-09,2024-03-09,The Concert
เต้นรำครั้งสุดท้าย THE YERS FAREWELL CONCERT ทุกบทเพลงจะถูกบรรเลง...เป็นครั้งสุดท้าย, Thunder Dome,2024-03-09,2024-03-09,The Concert
blossom of smile with parkjihoon,@movylodge ( BTS Ratchathewi exit 4 ),2024-03-09,2024-03-10,Ticketmelon
Babymime Fest ตอน Journey to Suvarnabhumi,ห้องประชุมสมเด็จพระมหาวีรวงศ์(อ้วน) อาคารพุทธวิชชาลัย มหาวิทยาลัยราชภัฏพระนคร (BTS วัดพระศรีมหาธาตุ),2024-03-09,2024-03-10,Ticketmelon
VIVA LA VESPA FESTIVAL & CARAVAN 2024,WONDER WORLD EXTREME PARK,2024-03-09,2024-03-10,Ticketmelon
SARN CIVILIZE ไฝว้ปลดหนี้ | ละคอนเวทีนิเทศศาสตร์ มหาวิทยาลัยมหาสารคาม 2024,ลานศิลปวัฒนธรรมกลางแจ้ง (เล้าไก่) มหาวิทยาลัยมหาสารคาม,2024-03-09,2024-03-10,Ticketmelon
Shibari Suspension Workshop with Seattle Shibari,Buffalo Bridge Gallery,2024-03-10,2024-03-10,Ticketmelon
Citizen Live In Bangkok 2024,Mr.fox,2024-03-10,2024-03-10,Ticketmelon
Yoga sunset 10 MAR 2024,Yodpiman Riverwalk ,2024-03-10,2024-03-10,Ticketmelon
One love sunday 10 MAR 2024,Yodpiman Riverwalk ,2024-03-10,2024-03-10,Ticketmelon
Fly Boy Jack X Subnet @ DECOMMUNE,DECOMMUNE,2024-03-10,2024-03-10,Ticketmelon
Blueprint Livehouse: Stoondio,Blueprint Livehouse,2024-03-10,2024-03-10,Ticketmelon
Ink Waruntorn @HOUSE Klong 6, HOUSE Klong 6 เฮ้าส์ คลองหก,2024-03-12,2024-03-12,The Concert
Blueprint Livehouse: YENTED,Blueprint Livehouse,2024-03-14,2024-03-14,Ticketmelon
Death Of Heather  : FOREVER ALBUM LAUNCH PARTY,Mr.Fox Live House [Town In Town],2024-03-15,2024-03-15,Ticketmelon
Death Of Heather  : FOREVER ALBUM LAUNCH PARTY,Mr.Fox Live House [Town In Town],2024-03-15,2024-03-15,Ticketmelon
MATTER,THE WAREHOUSE TALAT NOI,2024-03-15,2024-03-15,Ticketmelon
"Martial Arts is a complete mind, body and spirit practice",FCCThai Clubhouse,2024-03-15,2024-03-15,Ticketmelon
Blueprint Livehouse: YONLAPA,Blueprint Livehouse,2024-03-15,2024-03-15,Ticketmelon
SLASH featuring Myles Kennedy Live in Bangkok,CENTERPOINT STUDIO,2024-03-15,2024-03-15,Ticketmelon
Jay Jetrin x Lamaya, Lamaya,2024-03-15,2024-03-15,The Concert
รถตู้รับส่ง @Brovo 15 Mar 2024, BRAVO BKK,2024-03-15,2024-03-15,The Concert
HYBS : WELL DONE CONCERT, MGI HALL ชั้น 6 ศูนย์การค้า SHOW DC,2024-03-15,2024-03-15,The Concert
SHE RISES by The PARQ x Brew Yoga Thailand,The PARQ,2024-03-16,2024-03-16,Ticketmelon
ASIA SOUND SPACE PRESENT : SPACE GECKO,Brownstone,2024-03-16,2024-03-16,Ticketmelon
Swerve Digital x Bangkok Island Boat Party,Wat Worachanyawat,2024-03-16,2024-03-16,Ticketmelon
DESPIZE & DEMONSTRATION OF POWER Live in Bangkok 2024,Blueprint Livehouse,2024-03-16,2024-03-16,Ticketmelon
"SNATCH! FEAT. KIKI HOUSE OF SIREN, SRIRACHA CZADDY & ZACKITO",Pulse Club Back Door (Silom Soi 2/1),2024-03-16,2024-03-16,Ticketmelon
รถตู้รับส่ง @Brovo 16 Mar 2024, BRAVO BKK,2024-03-16,2024-03-16,The Concert
NEVERPROM FANCON, JJ HALL @ JJ MALL,2024-03-16,2024-03-16,The Concert
ETC ชวนมาชิลล์  EP.4 : Love Hard Rock Harder, Hard Rock Hotel Pattaya,2024-03-16,2024-03-16,The Concert
2 DAYS AGO KIDS “โตไปเป็นเด็ก” The First  Show on Their Playground, BCC Hall เซ็นทรัล ลาดพร้าว,2024-03-16,2024-03-16,The Concert
THE CONCERT PRESENTS  : “หลายชีวิต ไววิทย์ คอนเสิร์ต”, Voice space กรุงเทพฯ,2024-03-16,2024-03-16,The Concert
หนัดเพื่อชีWeed 16 มี.ค. - Hugo, ChangChui,2024-03-16,2024-03-16,The Concert
HYBS : WELL DONE CONCERT, MGI HALL ชั้น 6 ศูนย์การค้า SHOW DC,2024-03-16,2024-03-16,The Concert
The Concert Present ลาบกรุงคอนสด x Stoondio, LABKRUNG (ลาบกรุง),2024-03-16,2024-03-16,The Concert
ชันสูตร ON STAGE,หอประชุมใหญ่ มหาวิทยาลัยธรรมศาสตร์ (ท่าพระจันทร์),2024-03-16,2024-03-17,Ticketmelon
Blueprint Livehouse: _LESS + ROCKETMAN,Blueprint Livehouse,2024-03-17,2024-03-17,Ticketmelon
NONT TANONT BIRTHDAY SPORT PARTY 2024, MCC Hall เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,2024-03-17,2024-03-17,The Concert
Underdog Micro Brewery Presents : @FREEHAND Live at Underdog (Full set), Underdog Micro Brewery,2024-03-17,2024-03-17,The Concert
Lound Around, DECOMMUNE,2024-03-17,2024-03-17,The Concert
🎹 Way Back Into Love : A Tribute to All-Time Favorite Romantic Comedies,Kilik Social Club (สุขุมวิท 26),2024-03-17,2024-03-31,Ticketmelon
#HYHBKK Live! with Slowdive,Voice Space,2024-03-18,2024-03-18,Ticketmelon
Bank Preeti Live in 91bar, 91 Bar & Restaurants,2024-03-18,2024-03-20,The Concert
"YAMP Music Festival 2024 - Your Life, Your Music, Your Journey","MACM, College of Music, Mahidol University",2024-03-19,2024-03-24,Ticketmelon
La Dispute Live In Thailand 2024,DeCommune,2024-03-20,2024-03-20,Ticketmelon
Young Ohm @HOUSE Klong 6, HOUSE Klong 6 เฮ้าส์ คลองหก,2024-03-20,2024-03-20,The Concert
Brooklyn Vibes presents Brew & Beats Music Experience Vol.1 Television Off & YEW,Lido Connect,2024-03-21,2024-03-21,Ticketmelon
Blueprint Livehouse: sukid458 + Inwza0072535 + Driedflower (DAY 1),Blueprint Livehouse,2024-03-21,2024-03-21,Ticketmelon
GasolineSrinakarin PRESENT The Gentlemans, Gasoline Bar - Srinakarin,2024-03-21,2024-03-21,The Concert
WE WANTZZ HEAL ใจ  #1, Zound Hatyai,2024-03-21,2024-03-22,The Concert
Rock The Boat 22 MARCH 2024,Yodpiman Riverwalk,2024-03-22,2024-03-22,Ticketmelon
SangSom presents Zweed n’ Roll – (Z)ometh!ng_E/se? EP. launch ,Mr.Fox Live House,2024-03-22,2024-03-22,Ticketmelon
BEAMCUBE invites Matisa,"BEAMCUBE, Mahanakorn Cube",2024-03-22,2024-03-22,Ticketmelon
Final Frontier x Delirium present: Reflex Blue & Aaguu,Never Normal Lat Phrao 18 Alley,2024-03-22,2024-03-22,Ticketmelon
Singto Numchok x Lamaya, Lamaya,2024-03-22,2024-03-22,The Concert
(23 March - 14:00) ☘️ Always With Me : Ghibli Instrumental Concert,Lido Connect 1,2024-03-23,2024-03-23,Ticketmelon
MASHED LoneLyTown แมชด ซาว มาว โลนลี แทรช,Lonelytown Night Market,2024-03-23,2024-03-23,Ticketmelon
Holi Festival ,Yodpiman Riverwalk ,2024-03-23,2024-03-23,Ticketmelon
LAST WISHES & HEADBUSSA Live in Bangkok 23.03.2024,Blueprint Livehouse,2024-03-23,2024-03-23,Ticketmelon
Monthly Refugee Dinner: The Flavors of the Middle East,theCOMMONS Thonglor,2024-03-23,2024-03-23,Ticketmelon
เฟี้ยวติวัล เชียงใหม่,ลานม่วนใจ๋ 2 / เซ็นทรัลเชียงใหม่แอร์พอต,2024-03-23,2024-03-23,Ticketmelon
H 3 F : Chalawan Caravan Concert,Lido Connect,2024-03-23,2024-03-23,Ticketmelon
HATAKA 𓄸The Liquid Of Cryptic 𓄸 presented by GOMORRAH,Decommune,2024-03-23,2024-03-23,Ticketmelon
MUSIC IN THE GARDEN, Chante cafe,2024-03-23,2024-03-23,The Concert
AssetWise Presents   PIANO&i The Magic 7 Concert, QUEEN SIRIKIT NATIONAL CONVENTION CENTER,2024-03-23,2024-03-23,The Concert
ฟีด สไมล์ เดย์ แฟนมีต, Muangthai Rachadalai Theatre,2024-03-23,2024-03-23,The Concert
Deep Drop Rock Concert Party, oxy fine meat more,2024-03-23,2024-03-23,The Concert
BOTCASH presents Symphonia, Mr.FOX Live House,2024-03-23,2024-03-23,The Concert
Anatomy Rabbit, Campyard,2024-03-23,2024-03-23,The Concert
SONiC WAVE MUSiC VOL.1 AIBECK ASIA TOUR,GlOWFISH SATHON,2024-03-23,2024-03-24,Ticketmelon
☘️ Always With Me : Ghibli Instrumental Concert,Lido Connect 1,2024-03-23,2024-03-24,Ticketmelon
Summer Sound in The City 2024,Siwilai City Club,2024-03-23,2024-03-25,Ticketmelon
โคตรคูล แฟนคอน ตอน มาทั้งโคตร,MCC HALL ชั้น 3 เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,2024-03-24,2024-03-24,Ticketmelon
I AM LEGEND THAILAND #4 x FC ONLINE x Lothar Matthaus,Siam Paragon ,2024-03-24,2024-03-24,Ticketmelon
(24 March - 14:00) ☘️ Always With Me : Ghibli Instrumental Concert,Lido Connect 1,2024-03-24,2024-03-24,Ticketmelon
Brotherhood Brutality - 10 Years Anniversary ,Mr Fox Livehouse ,2024-03-24,2024-03-24,Ticketmelon
Thailand Senior Music and Dance Festival 2024,ณ หอประชุมใหญ่มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์,2024-03-24,2024-03-24,Ticketmelon
โคตรคูล แฟนคอน ตอน มาทั้งโคตร,MCC HALL ชั้น 3 เดอะมอลล์ไลฟ์สโตร์ บางกะปิ,2024-03-24,2024-03-24,Ticketmelon
BCCO Spring Concert 2024: From Passion to Peace,Thailand Cultural Centre,2024-03-24,2024-03-24,Ticketmelon
(24 March - 19:30) ☘️ Always With Me : Ghibli Instrumental Concert,Lido Connect 1,2024-03-24,2024-03-24,Ticketmelon
[SYNAP_1_YEAR],SYNAP[home/lab],2024-03-24,2024-03-25,Ticketmelon
Fanmeeting Love Senior First Meet First Love,Ultra Arena 5th floor BRAVO BKK,2024-03-24,2024-04-04,Ticketmelon
Blueprint Livehouse: sukid458 + Inwza0072535 + Driedflower (DAY 2),Blueprint Livehouse,2024-03-25,2024-03-25,Ticketmelon
Blueprint Livehouse: Desktop Error + Cloud Behind,Blueprint Livehouse,2024-03-27,2024-03-27,Ticketmelon
Blueprint Livehouse: Alec Orachi + Ford Trio,Blueprint Livehouse,2024-03-28,2024-03-28,Ticketmelon
ปลานิลเต็มบ้าน live at Juis Bar อารีย์, ร้าน Juis Bar โครงการ Aqua สะพานควาย - อารีย์ ,2024-03-28,2024-03-28,Ticketmelon
คณะขวัญใจ live at Come Again Cafe & Restaurant, Come Again Cafe & Restaurant,2024-03-28,2024-03-28,The Concert
Cocktail x Lamaya, Lamaya,2024-03-29,2024-03-29,The Concert
GB LIVE RITUAL 2024,Blueprint Live House ,2024-03-30,2024-03-30,Ticketmelon
Southside Festival,Andamanda Phuket,2024-03-30,2024-03-30,Ticketmelon
Captain Boat Party 1.0,Port Klang Cruise Teminal ,2024-03-30,2024-03-30,Ticketmelon
Unplug Corner #1: Proxie,Garden Deck at Eastin Grand Phayathai Hotel  ,2024-03-30,2024-03-30,Ticketmelon
Psychedelic Sunset 30 MAR 2024,Yodpiman Riverwalk ,2024-03-30,2024-03-30,Ticketmelon
Suffocation & Gatecreeper Live in Manila,Eastside Sandugo,2024-03-30,2024-03-30,Ticketmelon
OpenSeen Ubon Party,Darayont (ดารายนต์),2024-03-30,2024-03-30,Ticketmelon
เฟี้ยวติวัล นครปฐม,ตลาดนัดเครื่องบิน ,2024-03-30,2024-03-30,Ticketmelon
SOUND SOME NOISE EP.3 - SUICHU SPICA,Brown Stone,2024-03-30,2024-03-30,Ticketmelon
Atipik Takeover at Never Normal,never normal,2024-03-30,2024-03-30,Ticketmelon
BEAMCUBE invites Cromby,"BEAMCUBE, Mahanakorn Cube",2024-03-30,2024-03-30,Ticketmelon
EDM Addicts Top 20 DJ & MC Awards Ceremony,Spaceplus Bangkok,2024-03-30,2024-03-30,Ticketmelon
CAT EXPO ขอนแก่น, ศูนย์ประชุมฯ ไคซ์,2024-03-30,2024-03-30,The Concert
ฮ่าจัดเรยคัฟ สแตนด์อัพคอมเมดี้โชว์ โดย เบียร์ ศรัญญู, โรงละครอักษรา คิง เพาเวอร์ รางน้ำ,2024-03-30,2024-03-30,The Concert
ละครเวที ใคร ฆ่า เตี่ย (Who killed our? father),"The Street Hall , The Street รัชดา ชั้น 5",2024-03-30,2024-03-31,Ticketmelon
theCOMMONS's Wild Rumpus: Adventures of the One Eared Bunny ,theCOMMONS Thonglor,2024-03-31,2024-03-31,Ticketmelon
NEGATIVE FREQUENCIES OVER SIAM - VOL.I,19 Space (Silom 19),2024-03-31,2024-03-31,Ticketmelon
Blueprint Livehouse: Conductor + SINGDVNCEFIST + Krtkkkh,Blueprint Livehouse,2024-03-31,2024-03-31,Ticketmelon
The Rock Summer Music, E-FY Event Ayutthaya,2024-03-31,2024-03-31,The Concert
Srirajah Rockers x คณะเบียร์บูด,Come Again Cafe,2024-04-01,2024-04-01,Ticketmelon
#HYHBKK Live! with Puma Blue,Lido Connect,2024-04-02,2024-04-02,Ticketmelon
อยุธยา เฟส, สวนน้ำ The RABBIT WATER PARK อยุธยา,2024-04-02,2024-04-02,The Concert
Rhythm & Beyond,Blueprint Livehouse,2024-04-04,2024-04-04,Ticketmelon
HtoO, BanFahMarche (klong 6),2024-04-05,2024-04-06,The Concert
ที่ปลายรุ้ง, หอประชุมศรีบูรพา มหาวิทยาลัยธรรมศาสตร์ ท่าพระจันทร์,2024-04-05,2024-04-07,The Concert
Arijit Singh Live In Bangkok,IMPACT ARENA,2024-04-06,2024-04-06,Ticketmelon
"_COSM and Neighbours Collective present Rave Baan Ngaan 1 ""¥’All Night Long""",Secret Venue,2024-04-06,2024-04-06,Ticketmelon
Arijit Singh Live In Bangkok,IMPACT ARENA,2024-04-06,2024-04-06,Ticketmelon
Hitsujibungaku Asia Tour 2024 in Bangkok,Lido Connect,2024-04-06,2024-04-06,Ticketmelon
Blueprint Livehouse: Whal & Dolph,Blueprint Livehouse,2024-04-06,2024-04-06,Ticketmelon
SINGHA CORPORATION PRESENTS SOUND A BOXX ‘IT HURTS BUT IT’S OKAY’, Search Studio,2024-04-06,2024-04-06,The Concert
Blooming20thHARUTO,ARCH Cafe 아치 카페,2024-04-06,2024-04-07,Ticketmelon
HEINEKEN EXPERIENCE REFRESH YOUR MUSIC presents BEDROOM FEST เทศกาลดนตรีวงดังในวันพรุ่งนี้, VOICE SPACE,2024-04-06,2024-04-07,The Concert
K’s always Me & You,"Bravo BKK, Ultra Arena Hall 5Fl.",2024-04-07,2024-04-07,Ticketmelon
INCRISIS2024 -Glowing up in the Dark Night,มหาวิทยาลัยมหิดล ศาลายา,2024-04-07,2024-04-07,Ticketmelon
Morning Tonight Present TATTOO COLOUR,Morning Tonight,2024-04-07,2024-04-07,Ticketmelon
“THE DINOSAUR CONCERT”,Banyan Tree - Grand Ballroom,2024-04-07,2024-04-07,Ticketmelon
Blueprint Livehouse: LAAN + NOISE FIGURE + LOST IN PULSE,Blueprint Livehouse,2024-04-07,2024-04-07,Ticketmelon
SIAM Songkran Music Festival 2024,RCA Central Park,2024-04-12,2024-04-15,Ticketmelon
Hong Thong presents แฉะมั้ยจ๊ะ 6,ลานกิจกรรมร้านแก๊สโซลีน,2024-04-12,2024-04-15,Ticketmelon
SIAM Songkran Music Festival 2024,RCA Central Park,2024-04-12,2024-04-15,Ticketmelon
Chang Music Connection Presents WATER WAR CHIANG MAI 2024, ลานม่วนใจ๋ / เซ็นทรัล เชียงใหม่ แอร์พอร์ต,2024-04-13,2024-04-13,The Concert
Splash Pool Party,สวนน้ำ The Mall Korat,2024-04-13,2024-04-16,Ticketmelon
Chang Songkran presents รังสิตสาด2, ESC Park Rangsit,2024-04-18,2024-04-21,The Concert
The Hot Summer Night Tour,"Camp Avenue, Taboc San Juan, La Union",2024-04-20,2024-04-20,Ticketmelon
Unplug Corner #2: Serious Bacon & No One Else,Garden Deck at Eastin Grand Phayathai Hotel  ,2024-04-20,2024-04-20,Ticketmelon
Home Heal Heart Concert, UTCC PARK,2024-04-20,2024-04-20,The Concert
2024 PARK MIN YOUNG ASIA FANMEETING MY BRAND NEW DAY in Thailand," MCC Hall , The Mall Lifestore Ngamwongwan",2024-04-20,2024-04-20,The Concert
LIDO LIVEHOUSE presented by Federbrau Red Feather Club 'Moving and Cut & Television Off',Lido Connect,2024-04-26,2024-04-26,Ticketmelon
HOLA SHAKA FESTIVAL 2024,Riverdale Marina,2024-04-27,2024-04-27,Ticketmelon
HOLA SHAKA FESTIVAL 2024,Riverdale Marina,2024-04-27,2024-04-27,Ticketmelon
เฟี้ยวติวัล บุรีรัมย์,สนามช้างอารีน่า,2024-04-27,2024-04-27,Ticketmelon
2024 AHN BO HYUN ASIA TOUR FANMEETING in BANGKOK,KBank Siam Pic-Ganesha Theatre,2024-04-27,2024-04-27,Ticketmelon
HS SHOWCASE 2024 “THE 15th FINAL”, @เอ็มเธียเตอร์ (M-theatre),2024-04-27,2024-04-27,The Concert
ALL TIME LOW. FOREVER. ASIA 2024,"ZEPP, KL",2024-04-28,2024-04-28,Ticketmelon
“Finally Find Biu”: Build’s First Fan Meeting in Berlin,"MOA Berlin, Stephanstr.41, 10559 Berlin, Germany",2024-04-28,2024-04-28,Ticketmelon
Cat มือที่สอง," MCC HALL, THE MALL LIFESTORE BANGKAPI",2024-04-28,2024-04-28,The Concert
Select to See Love, UTCC HALL มหาวิทยาลัยหอการค้าไทย,2024-04-28,2024-04-28,The Concert
Me & Song Sam Lee Bangkok 2024 Concert,"Union Hall, Bangkok",2024-05-01,2024-05-01,Ticketmelon
RAMPAGE - SUMMER FEST 2024,Centerpoint Studio,2024-05-03,2024-05-03,Ticketmelon
PREP Asia Tour 2024 in Bangkok,Union Hall,2024-05-03,2024-05-03,Ticketmelon
Circus Music Festival 4,Circuit Makati Open Grounds,2024-05-04,2024-05-04,Ticketmelon
ADOY Live in Bangkok 2024,Union Hall,2024-05-04,2024-05-04,Ticketmelon
มโหฬาร งานแคมป์, Honey Queen Resort,2024-05-04,2024-05-04,The Concert
ฝั่งธนเฟส 2, โกดังเสริมสุข กรุงเทพฯ,2024-05-04,2024-05-04,The Concert
SUNSET by NEON ,"Genting Highlands Premium Outlets, Bus Park",2024-05-04,2024-05-05,Ticketmelon
AniEx Summer 2024,"Westgate Hall, Central Westgate",2024-05-05,2024-05-05,Ticketmelon
Rock Entertainment Presents  - CONVERGE - Live In Bangkok, The Rock Pub,2024-05-07,2024-05-07,The Concert
เฟี้ยวติวัล ขอนแก่น,ศูนย์ค้าส่งอู้ฟู่ ,2024-05-11,2024-05-11,Ticketmelon
BlazeRock Concert,UTCC Park มหาวิทยาลัยหอการค้าไทย,2024-05-12,2024-05-12,Ticketmelon
Die Walküre Act One - Semi-Staged Performance,Thailand Cultural Center,2024-05-16,2024-05-16,Ticketmelon
PONG 47 ปี Rock Never Dies,BCC HALL เซ็นทรัล ลาดพร้าว,2024-05-18,2024-05-18,Ticketmelon
THE STUDIO PROJECT LIVE IN BANGKOK,Mr.FOX Live House,2024-05-18,2024-05-18,Ticketmelon
เฟี้ยวติวัล กรุงเทพฯ,ลานตะวันนา 2,2024-05-19,2024-05-19,Ticketmelon
92914 1ST ASIA TOUR 2024 LIVE IN BANGKOK,Voice Space,2024-05-20,2024-05-20,Ticketmelon
[มวยปล้ำไทย] SETUP EP.18 : CLASH OF THE TITANS,The Circus Studio,2024-05-25,2024-05-25,Ticketmelon
t_047 Home-coming Concert, Voice space กรุงเทพฯ,2024-05-25,2024-05-25,The Concert
#HYHBKK Live! with Alice Phoebe Lou ,DECOMMUNE,2024-05-26,2024-05-26,Ticketmelon
GAYLE (My first time) in Asia 2024 Bangkok,Lido Connect,2024-05-27,2024-05-27,Ticketmelon
PRISM: PRIDE,Emsphere,2024-06-01,2024-07-03,Ticketmelon
Circuit Festival Asia 2024,"Pattaya, Thailand",2024-06-07,2024-06-09,Ticketmelon
Elephant Gym Live in Bangkok 2024,Lido Connect,2024-06-14,2024-06-14,Ticketmelon
